concept,layer,target_class,mean_sign_count,std_sign_count,p_value,corrected_alpha,significant,direction,n_trials
high_note_density,classifier.1,classical,0.3066997518838438,0.1234415996845392,0.0007892535605014229,0.0003787878787878788,False,not_significant,10
high_note_density,classifier.1,country,0.2707972270363951,0.07550109007764944,5.021279091584816e-06,0.0003787878787878788,True,negative,10
high_note_density,classifier.1,jazz,0.19136363636363635,0.110082779587567,9.651190942882099e-06,0.0003787878787878788,True,negative,10
high_note_density,classifier.1,pop,0.8393376413955442,0.06364475127833012,4.0705929008097815e-08,0.0003787878787878788,True,positive,10
high_note_density,classifier.1,rock,0.34677171408156543,0.0975861189720879,0.0007748101051709681,0.0003787878787878788,False,not_significant,10
high_note_density,classifier.1,traditional,0.5951428581135614,0.1228390541872315,0.036799717060750615,0.0003787878787878788,False,not_significant,10
high_note_density,classifier.2,classical,0.1,0.31622776601683794,0.0031104283103858543,0.0003787878787878788,False,not_significant,10
high_note_density,classifier.2,country,0.4,0.5163977794943223,0.5554454421055854,0.0003787878787878788,False,not_significant,10
high_note_density,classifier.2,jazz,0.0,0.0,,0.0003787878787878788,False,not_significant,10
high_note_density,classifier.2,pop,0.8,0.42163702135578396,0.05100326070695079,0.0003787878787878788,False,not_significant,10
high_note_density,classifier.2,rock,0.2,0.42163702135578396,0.05100326070695086,0.0003787878787878788,False,not_significant,10
high_note_density,classifier.2,traditional,0.4,0.5163977794943223,0.5554454421055854,0.0003787878787878788,False,not_significant,10
high_pitch_register,classifier.1,classical,0.938296112494591,0.043231461323045194,1.3730039803285858e-10,0.0003787878787878788,True,positive,10
high_pitch_register,classifier.1,country,0.5058492201039863,0.14686589460188829,0.9025449645210356,0.0003787878787878788,False,not_significant,10
high_pitch_register,classifier.1,jazz,0.18928571428571428,0.13362860499959034,4.313707689453007e-05,0.0003787878787878788,True,negative,10
high_pitch_register,classifier.1,pop,0.2206381260626536,0.12078413311860291,4.496581426500202e-05,0.0003787878787878788,True,negative,10
high_pitch_register,classifier.1,rock,0.37920830132214955,0.1928323743656604,0.07894827664820149,0.0003787878787878788,False,not_significant,10
high_pitch_register,classifier.1,traditional,0.7908571440151759,0.10743600115517112,1.2827944384316245e-05,0.0003787878787878788,True,positive,10
high_pitch_register,classifier.2,classical,1.0,0.0,,0.0003787878787878788,False,not_significant,10
high_pitch_register,classifier.2,country,0.2,0.42163702135578396,0.05100326070695086,0.0003787878787878788,False,not_significant,10
high_pitch_register,classifier.2,jazz,0.3,0.4830458915396479,0.22286835013351997,0.0003787878787878788,False,not_significant,10
high_pitch_register,classifier.2,pop,0.0,0.0,,0.0003787878787878788,False,not_significant,10
high_pitch_register,classifier.2,rock,0.5,0.5270462766947299,1.0,0.0003787878787878788,False,not_significant,10
high_pitch_register,classifier.2,traditional,0.8,0.42163702135578396,0.05100326070695079,0.0003787878787878788,False,not_significant,10
high_polyphony,classifier.1,classical,0.4733664185646845,0.22933170400583205,0.7219173565626956,0.0003787878787878788,False,not_significant,10
high_polyphony,classifier.1,country,0.4994367417677642,0.20628832042078538,0.9932991838003902,0.0003787878787878788,False,not_significant,10
high_polyphony,classifier.1,jazz,0.6817532467532468,0.1667721738347119,0.007316831777917485,0.0003787878787878788,False,not_significant,10
high_polyphony,classifier.1,pop,0.47463651052969524,0.14933688172841403,0.6042319290770418,0.0003787878787878788,False,not_significant,10
high_polyphony,classifier.1,rock,0.26064565720682326,0.12164188042398859,0.00015465495558377625,0.0003787878787878788,True,negative,10
high_polyphony,classifier.1,traditional,0.45714285784108294,0.14876666059957555,0.3860458208370301,0.0003787878787878788,False,not_significant,10
high_polyphony,classifier.2,classical,1.0,0.0,,0.0003787878787878788,False,not_significant,10
high_polyphony,classifier.2,country,0.9,0.31622776601683794,0.0031104283103858543,0.0003787878787878788,False,not_significant,10
high_polyphony,classifier.2,jazz,1.0,0.0,,0.0003787878787878788,False,not_significant,10
high_polyphony,classifier.2,pop,0.5,0.5270462766947299,1.0,0.0003787878787878788,False,not_significant,10
high_polyphony,classifier.2,rock,0.1,0.31622776601683794,0.0031104283103858543,0.0003787878787878788,False,not_significant,10
high_polyphony,classifier.2,traditional,0.8,0.42163702135578396,0.05100326070695079,0.0003787878787878788,False,not_significant,10
irregular_ioi,classifier.1,classical,0.9531017369776349,0.03910428391388432,4.161575007325887e-11,0.0003787878787878788,True,positive,10
irregular_ioi,classifier.1,country,0.46642114384748706,0.14020037441891092,0.46818409344678547,0.0003787878787878788,False,not_significant,10
irregular_ioi,classifier.1,jazz,0.2502597402597403,0.19249062689453697,0.0026655797643203314,0.0003787878787878788,False,not_significant,10
irregular_ioi,classifier.1,pop,0.2691033926059722,0.13491515071422802,0.00042627444997032644,0.0003787878787878788,False,not_significant,10
irregular_ioi,classifier.1,rock,0.5426210607752078,0.17496503098813496,0.46084957929319825,0.0003787878787878788,False,not_significant,10
irregular_ioi,classifier.1,traditional,0.6331428581987109,0.12323088238030251,0.007668680233328148,0.0003787878787878788,False,not_significant,10
irregular_ioi,classifier.2,classical,1.0,0.0,,0.0003787878787878788,False,not_significant,10
irregular_ioi,classifier.2,country,0.9,0.31622776601683794,0.0031104283103858543,0.0003787878787878788,False,not_significant,10
irregular_ioi,classifier.2,jazz,1.0,0.0,,0.0003787878787878788,False,not_significant,10
irregular_ioi,classifier.2,pop,0.4,0.5163977794943223,0.5554454421055854,0.0003787878787878788,False,not_significant,10
irregular_ioi,classifier.2,rock,1.0,0.0,,0.0003787878787878788,False,not_significant,10
irregular_ioi,classifier.2,traditional,1.0,0.0,,0.0003787878787878788,False,not_significant,10
long_notes,classifier.1,classical,0.9520264681752207,0.03913527728227996,4.281204519804981e-11,0.0003787878787878788,True,positive,10
long_notes,classifier.1,country,0.40437608318890816,0.145195095474691,0.06697773192706842,0.0003787878787878788,False,not_significant,10
long_notes,classifier.1,jazz,0.46454545454545454,0.19306636175381198,0.5756810833491788,0.0003787878787878788,False,not_significant,10
long_notes,classifier.1,pop,0.22051696286616496,0.09244191923226752,5.194374484590689e-06,0.0003787878787878788,True,negative,10
long_notes,classifier.1,rock,0.21352805536037037,0.10659502501708684,1.3612770352257842e-05,0.0003787878787878788,True,negative,10
long_notes,classifier.1,traditional,0.7205714297975813,0.10353217648237494,8.487977477218078e-05,0.0003787878787878788,True,positive,10
long_notes,classifier.2,classical,0.9,0.31622776601683794,0.0031104283103858543,0.0003787878787878788,False,not_significant,10
long_notes,classifier.2,country,0.3,0.4830458915396479,0.22286835013351997,0.0003787878787878788,False,not_significant,10
long_notes,classifier.2,jazz,0.3,0.4830458915396479,0.22286835013351997,0.0003787878787878788,False,not_significant,10
long_notes,classifier.2,pop,0.4,0.5163977794943223,0.5554454421055854,0.0003787878787878788,False,not_significant,10
long_notes,classifier.2,rock,0.2,0.42163702135578396,0.05100326070695086,0.0003787878787878788,False,not_significant,10
long_notes,classifier.2,traditional,0.9,0.31622776601683794,0.0031104283103858543,0.0003787878787878788,False,not_significant,10
low_note_density,classifier.1,classical,0.8980976013480582,0.09755832186692655,4.137963407780928e-07,0.0003787878787878788,True,positive,10
low_note_density,classifier.1,country,0.5713604852686307,0.14460114209459496,0.153055401474949,0.0003787878787878788,False,not_significant,10
low_note_density,classifier.1,jazz,0.1501298701298701,0.09999990629856369,1.533184779927721e-06,0.0003787878787878788,True,negative,10
low_note_density,classifier.1,pop,0.2602584814589609,0.1969993875149185,0.0039159810361230705,0.0003787878787878788,False,not_significant,10
low_note_density,classifier.1,rock,0.5947732513817707,0.18923785706288188,0.14771819601852965,0.0003787878787878788,False,not_significant,10
low_note_density,classifier.1,traditional,0.6225714294910432,0.08596207617158001,0.0014697725589664556,0.0003787878787878788,False,not_significant,10
low_note_density,classifier.2,classical,1.0,0.0,,0.0003787878787878788,False,not_significant,10
low_note_density,classifier.2,country,0.9,0.31622776601683794,0.0031104283103858543,0.0003787878787878788,False,not_significant,10
low_note_density,classifier.2,jazz,1.0,0.0,,0.0003787878787878788,False,not_significant,10
low_note_density,classifier.2,pop,0.3,0.4830458915396479,0.22286835013351997,0.0003787878787878788,False,not_significant,10
low_note_density,classifier.2,rock,1.0,0.0,,0.0003787878787878788,False,not_significant,10
low_note_density,classifier.2,traditional,1.0,0.0,,0.0003787878787878788,False,not_significant,10
low_pitch_register,classifier.1,classical,0.7719602978234453,0.1996658091939517,0.0019695593780180176,0.0003787878787878788,False,not_significant,10
low_pitch_register,classifier.1,country,0.6868284228769499,0.08651751062188755,7.654044367218721e-05,0.0003787878787878788,True,positive,10
low_pitch_register,classifier.1,jazz,0.3072077922077922,0.13900332797745638,0.0017558444656819144,0.0003787878787878788,False,not_significant,10
low_pitch_register,classifier.1,pop,0.2818255250632571,0.18288913530401513,0.004400272164634969,0.0003787878787878788,False,not_significant,10
