concept,classical,country,jazz,pop,rock,traditional
high_note_density,-0.2966501240580781,-0.16460138648180245,-0.40431818181818185,0.31966882069777214,-0.2266141429592173,-0.0024285709432192992
high_pitch_register,0.4691480562472955,-0.14707538994800687,-0.25535714285714295,-0.38968093696867323,-0.06039584933892525,0.295428572007588
high_polyphony,0.23668320928234224,0.1997183708838821,0.3408766233766234,-0.012681744735152406,-0.3196771713965884,0.12857142892054146
irregular_ioi,0.4765508684888174,0.18321057192374351,0.12512987012987015,-0.16544830369701388,0.2713105303876039,0.31657142909935543
long_notes,0.42601323408761044,-0.14781195840554595,-0.11772727272727276,-0.18974151856691754,-0.2932359723198148,0.31028571489879064
low_note_density,0.4490488006740291,0.23568024263431536,0.07506493506493506,-0.21987075927051955,0.29738662569088536,0.3112857147455216
low_pitch_register,0.2859801489117227,0.14341421143847494,-0.29639610389610394,-0.30908723746837147,0.06200999232477217,-0.3419999996764319
regular_ioi,-0.2736972704588307,-0.3061091854419411,-0.29000000000000004,0.2200525040700671,-0.1835318985327128,-0.06214285634245195
short_notes,0.013234077768694535,0.0038344887348353285,-0.1627922077922078,0.17296042007082696,0.22211760187565954,-0.04199999978286881
strong_velocity,-0.17874276256535393,-0.2062608318890815,-0.3073051948051948,-0.21829563808990027,0.04611837048767897,-0.16571428530556814
wide_pitch_range,-0.10612076094283165,-0.12580155979202773,-0.21084415584415586,0.2413570275069824,0.025653343598754152,-0.08814285668304986
