concept,layer,target_class,mean_sign_count,std_sign_count,p_value,corrected_alpha,significant,direction,n_trials,effect,abs_effect,signed_effect_label
high_note_density,classifier.1,classical,0.3066997518838438,0.1234415996845392,0.0007892535605014,0.0003787878787878,False,not_significant,10,-0.1933002481161562,0.1933002481161562,not_significant
high_note_density,classifier.1,country,0.2707972270363951,0.0755010900776494,5.021279091584816e-06,0.0003787878787878,True,negative,10,-0.22920277296360492,0.22920277296360492,opposes_class
high_note_density,classifier.1,jazz,0.1913636363636363,0.110082779587567,9.6511909428821e-06,0.0003787878787878,True,negative,10,-0.3086363636363637,0.3086363636363637,opposes_class
high_note_density,classifier.1,pop,0.8393376413955442,0.0636447512783301,4.0705929008097815e-08,0.0003787878787878,True,positive,10,0.33933764139554423,0.33933764139554423,supports_class
high_note_density,classifier.1,rock,0.3467717140815654,0.0975861189720879,0.0007748101051709,0.0003787878787878,False,not_significant,10,-0.15322828591843463,0.15322828591843463,not_significant
high_note_density,classifier.1,traditional,0.5951428581135614,0.1228390541872315,0.0367997170607506,0.0003787878787878,False,not_significant,10,0.09514285811356138,0.09514285811356138,not_significant
high_note_density,classifier.2,classical,0.1,0.3162277660168379,0.0031104283103858,0.0003787878787878,False,not_significant,10,-0.4,0.4,not_significant
high_note_density,classifier.2,country,0.4,0.5163977794943223,0.5554454421055854,0.0003787878787878,False,not_significant,10,-0.09999999999999998,0.09999999999999998,not_significant
high_note_density,classifier.2,jazz,0.0,0.0,,0.0003787878787878,False,not_significant,10,-0.5,0.5,not_significant
high_note_density,classifier.2,pop,0.8,0.4216370213557839,0.0510032607069507,0.0003787878787878,False,not_significant,10,0.30000000000000004,0.30000000000000004,not_significant
high_note_density,classifier.2,rock,0.2,0.4216370213557839,0.0510032607069508,0.0003787878787878,False,not_significant,10,-0.3,0.3,not_significant
high_note_density,classifier.2,traditional,0.4,0.5163977794943223,0.5554454421055854,0.0003787878787878,False,not_significant,10,-0.09999999999999998,0.09999999999999998,not_significant
high_pitch_register,classifier.1,classical,0.938296112494591,0.0432314613230451,1.3730039803285858e-10,0.0003787878787878,True,positive,10,0.438296112494591,0.438296112494591,supports_class
high_pitch_register,classifier.1,country,0.5058492201039863,0.1468658946018882,0.9025449645210356,0.0003787878787878,False,not_significant,10,0.005849220103986252,0.005849220103986252,not_significant
high_pitch_register,classifier.1,jazz,0.1892857142857142,0.1336286049995903,4.313707689453007e-05,0.0003787878787878,True,negative,10,-0.31071428571428583,0.31071428571428583,opposes_class
high_pitch_register,classifier.1,pop,0.2206381260626536,0.1207841331186029,4.496581426500202e-05,0.0003787878787878,True,negative,10,-0.2793618739373464,0.2793618739373464,opposes_class
high_pitch_register,classifier.1,rock,0.3792083013221495,0.1928323743656604,0.0789482766482014,0.0003787878787878,False,not_significant,10,-0.1207916986778505,0.1207916986778505,not_significant
high_pitch_register,classifier.1,traditional,0.7908571440151759,0.1074360011551711,1.2827944384316245e-05,0.0003787878787878,True,positive,10,0.29085714401517593,0.29085714401517593,supports_class
high_pitch_register,classifier.2,classical,1.0,0.0,,0.0003787878787878,False,not_significant,10,0.5,0.5,not_significant
high_pitch_register,classifier.2,country,0.2,0.4216370213557839,0.0510032607069508,0.0003787878787878,False,not_significant,10,-0.3,0.3,not_significant
high_pitch_register,classifier.2,jazz,0.3,0.4830458915396479,0.2228683501335199,0.0003787878787878,False,not_significant,10,-0.2,0.2,not_significant
high_pitch_register,classifier.2,pop,0.0,0.0,,0.0003787878787878,False,not_significant,10,-0.5,0.5,not_significant
high_pitch_register,classifier.2,rock,0.5,0.5270462766947299,1.0,0.0003787878787878,False,not_significant,10,0.0,0.0,not_significant
high_pitch_register,classifier.2,traditional,0.8,0.4216370213557839,0.0510032607069507,0.0003787878787878,False,not_significant,10,0.30000000000000004,0.30000000000000004,not_significant
high_polyphony,classifier.1,classical,0.4733664185646845,0.229331704005832,0.7219173565626956,0.0003787878787878,False,not_significant,10,-0.026633581435315523,0.026633581435315523,not_significant
high_polyphony,classifier.1,country,0.4994367417677642,0.2062883204207853,0.9932991838003902,0.0003787878787878,False,not_significant,10,-0.0005632582322357971,0.0005632582322357971,not_significant
high_polyphony,classifier.1,jazz,0.6817532467532468,0.1667721738347119,0.0073168317779174,0.0003787878787878,False,not_significant,10,0.18175324675324678,0.18175324675324678,not_significant
high_polyphony,classifier.1,pop,0.4746365105296952,0.149336881728414,0.6042319290770418,0.0003787878787878,False,not_significant,10,-0.025363489470304812,0.025363489470304812,not_significant
high_polyphony,classifier.1,rock,0.2606456572068232,0.1216418804239885,0.0001546549555837,0.0003787878787878,True,negative,10,-0.2393543427931768,0.2393543427931768,opposes_class
high_polyphony,classifier.1,traditional,0.4571428578410829,0.1487666605995755,0.3860458208370301,0.0003787878787878,False,not_significant,10,-0.042857142158917116,0.042857142158917116,not_significant
high_polyphony,classifier.2,classical,1.0,0.0,,0.0003787878787878,False,not_significant,10,0.5,0.5,not_significant
high_polyphony,classifier.2,country,0.9,0.3162277660168379,0.0031104283103858,0.0003787878787878,False,not_significant,10,0.4,0.4,not_significant
high_polyphony,classifier.2,jazz,1.0,0.0,,0.0003787878787878,False,not_significant,10,0.5,0.5,not_significant
high_polyphony,classifier.2,pop,0.5,0.5270462766947299,1.0,0.0003787878787878,False,not_significant,10,0.0,0.0,not_significant
high_polyphony,classifier.2,rock,0.1,0.3162277660168379,0.0031104283103858,0.0003787878787878,False,not_significant,10,-0.4,0.4,not_significant
high_polyphony,classifier.2,traditional,0.8,0.4216370213557839,0.0510032607069507,0.0003787878787878,False,not_significant,10,0.30000000000000004,0.30000000000000004,not_significant
irregular_ioi,classifier.1,classical,0.9531017369776348,0.0391042839138843,4.1615750073258866e-11,0.0003787878787878,True,positive,10,0.4531017369776348,0.4531017369776348,supports_class
irregular_ioi,classifier.1,country,0.466421143847487,0.1402003744189109,0.4681840934467854,0.0003787878787878,False,not_significant,10,-0.03357885615251299,0.03357885615251299,not_significant
irregular_ioi,classifier.1,jazz,0.2502597402597403,0.1924906268945369,0.0026655797643203,0.0003787878787878,False,not_significant,10,-0.2497402597402597,0.2497402597402597,not_significant
irregular_ioi,classifier.1,pop,0.2691033926059722,0.134915150714228,0.0004262744499703,0.0003787878787878,False,not_significant,10,-0.2308966073940278,0.2308966073940278,not_significant
irregular_ioi,classifier.1,rock,0.5426210607752078,0.1749650309881349,0.4608495792931982,0.0003787878787878,False,not_significant,10,0.042621060775207775,0.042621060775207775,not_significant
irregular_ioi,classifier.1,traditional,0.6331428581987109,0.1232308823803025,0.0076686802333281,0.0003787878787878,False,not_significant,10,0.13314285819871086,0.13314285819871086,not_significant
irregular_ioi,classifier.2,classical,1.0,0.0,,0.0003787878787878,False,not_significant,10,0.5,0.5,not_significant
irregular_ioi,classifier.2,country,0.9,0.3162277660168379,0.0031104283103858,0.0003787878787878,False,not_significant,10,0.4,0.4,not_significant
irregular_ioi,classifier.2,jazz,1.0,0.0,,0.0003787878787878,False,not_significant,10,0.5,0.5,not_significant
irregular_ioi,classifier.2,pop,0.4,0.5163977794943223,0.5554454421055854,0.0003787878787878,False,not_significant,10,-0.09999999999999998,0.09999999999999998,not_significant
irregular_ioi,classifier.2,rock,1.0,0.0,,0.0003787878787878,False,not_significant,10,0.5,0.5,not_significant
irregular_ioi,classifier.2,traditional,1.0,0.0,,0.0003787878787878,False,not_significant,10,0.5,0.5,not_significant
long_notes,classifier.1,classical,0.9520264681752209,0.0391352772822799,4.281204519804981e-11,0.0003787878787878,True,positive,10,0.45202646817522085,0.45202646817522085,supports_class
long_notes,classifier.1,country,0.4043760831889081,0.145195095474691,0.0669777319270684,0.0003787878787878,False,not_significant,10,-0.09562391681109189,0.09562391681109189,not_significant
long_notes,classifier.1,jazz,0.4645454545454545,0.1930663617538119,0.5756810833491788,0.0003787878787878,False,not_significant,10,-0.035454545454545516,0.035454545454545516,not_significant
long_notes,classifier.1,pop,0.2205169628661649,0.0924419192322675,5.194374484590689e-06,0.0003787878787878,True,negative,10,-0.2794830371338351,0.2794830371338351,opposes_class
long_notes,classifier.1,rock,0.2135280553603703,0.1065950250170868,1.3612770352257842e-05,0.0003787878787878,True,negative,10,-0.28647194463962966,0.28647194463962966,opposes_class
long_notes,classifier.1,traditional,0.7205714297975813,0.1035321764823749,8.487977477218078e-05,0.0003787878787878,True,positive,10,0.22057142979758126,0.22057142979758126,supports_class
long_notes,classifier.2,classical,0.9,0.3162277660168379,0.0031104283103858,0.0003787878787878,False,not_significant,10,0.4,0.4,not_significant
long_notes,classifier.2,country,0.3,0.4830458915396479,0.2228683501335199,0.0003787878787878,False,not_significant,10,-0.2,0.2,not_significant
